date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-05-29,Albania,Kosovo,0.0,3.0,A,Friendly,Friendly,True,1491.94490159756,1516.0884167674428
2018-05-29,Argentina,Haiti,4.0,0.0,H,Friendly,Friendly,False,1500.1189743130772,1500.0
2018-05-29,Azerbaijan,Kyrgyzstan,3.0,0.0,H,Friendly,Friendly,False,1491.8464832573047,1540.2778585665678
2018-05-30,Central African Republic,Uganda,1.0,0.0,H,Friendly,Friendly,True,1509.813233557023,1505.0012742313106
2018-05-30,Austria,Russia,1.0,0.0,H,Friendly,Friendly,False,1523.4282504250516,1473.5305174810749
2018-05-30,Malawi,Botswana,1.0,1.0,D,Tournament,COSAFA Cup,True,1486.7564425497674,1528.1661069772056
2018-05-30,Angola,Mauritius,1.0,0.0,H,Tournament,COSAFA Cup,True,1484.6184733814864,1535.4713270471009
2018-05-30,Estonia,Lithuania,2.0,0.0,H,Tournament,Baltic Cup,False,1495.0554087981345,1499.669944529041
2018-05-30,Japan,Ghana,0.0,2.0,A,Friendly,Friendly,False,1493.599857108657,1500.0
2018-05-31,Abkhazia,Tibet,3.0,0.0,H,Tournament,CONIFA World Football Cup,True,1500.0,1500.0
2018-05-31,Panjab,Kabylia,8.0,0.0,H,Tournament,CONIFA World Football Cup,True,1493.63302489273,1500.0
2018-05-31,United Koreans in Japan,Western Armenia,0.0,0.0,D,Tournament,CONIFA World Football Cup,True,1500.0,1500.0
2018-05-31,Padania,Matabeleland,6.0,1.0,H,Tournament,CONIFA World Football Cup,True,1500.0,1500.0
2018-05-31,Székely Land,Tuvalu,4.0,0.0,H,Tournament,CONIFA World Football Cup,True,1500.0,1500.0
2018-05-31,Northern Cyprus,Kárpátalja,1.0,1.0,D,Tournament,CONIFA World Football Cup,True,1500.0,1500.0
2018-05-31,Barawa,Tamil Eelam,4.0,0.0,H,Tournament,CONIFA World Football Cup,False,1479.327664348726,1500.0
2018-05-31,Slovakia,Netherlands,1.0,1.0,D,Friendly,Friendly,False,1514.4661887696643,1503.4773088957322
2018-05-31,Comoros,Madagascar,0.0,1.0,A,Tournament,COSAFA Cup,True,1470.611841478882,1509.3604677264218
2018-05-31,Mozambique,Seychelles,2.0,1.0,H,Tournament,COSAFA Cup,True,1513.0108987290396,1498.8239600681795
2018-05-31,Luxembourg,Senegal,0.0,0.0,D,Friendly,Friendly,False,1492.827125576841,1500.0668850619727
2018-05-31,Romania,Chile,3.0,2.0,H,Friendly,Friendly,True,1512.630087859066,1509.9229178067314
2018-05-31,Ukraine,Morocco,0.0,0.0,D,Friendly,Friendly,True,1506.392385776121,1513.1486453221185
2018-05-31,Ellan Vannin,Cascadia,4.0,1.0,H,Tournament,CONIFA World Football Cup,True,1508.159807104747,1500.0
2018-06-01,India,Taiwan,5.0,0.0,H,Tournament,Intercontinental Cup,False,1489.7221414334322,1511.7141559671409
2018-06-01,Angola,Malawi,0.0,0.0,D,Tournament,COSAFA Cup,True,1502.9437526173072,1488.654449227083
2018-06-01,Botswana,Mauritius,6.0,0.0,H,Tournament,COSAFA Cup,True,1526.26810029989,1517.1460478112801
2018-06-01,Colombia,Egypt,0.0,0.0,D,Friendly,Friendly,True,1507.8936152022798,1489.0122870744808
2018-06-01,Malta,Georgia,0.0,1.0,A,Friendly,Friendly,True,1479.7308934550147,1515.375863204073
2018-06-01,Czechia,Australia,0.0,4.0,A,Friendly,Friendly,True,1504.5040243450733,1492.2366727907818
2018-06-01,South Korea,Bosnia and Herzegovina,1.0,3.0,A,Friendly,Friendly,False,1509.700843245731,1501.7118721184722
2018-06-01,Türkiye,Tunisia,2.0,2.0,D,Friendly,Friendly,True,1511.101608145297,1512.7275190021953
2018-06-01,France,Italy,3.0,1.0,H,Friendly,Friendly,False,1510.633865290546,1499.2196362790971
2018-06-01,Algeria,Cape Verde,2.0,3.0,A,Friendly,Friendly,False,1491.6921030787266,1500.0
2018-06-02,Lesotho,Eswatini,1.0,0.0,H,Tournament,COSAFA Cup,True,1490.8635774111344,1509.846258449753
2018-06-02,Panjab,Western Armenia,0.0,1.0,A,Tournament,CONIFA World Football Cup,True,1532.3293207926604,1500.0
2018-06-02,United Koreans in Japan,Kabylia,0.0,0.0,D,Tournament,CONIFA World Football Cup,True,1500.0,1461.3037041000696
2018-06-02,Padania,Tuvalu,8.0,0.0,H,Tournament,CONIFA World Football Cup,True,1532.0,1470.0
2018-06-02,Székely Land,Matabeleland,5.0,0.0,H,Tournament,CONIFA World Football Cup,True,1530.0,1468.0
2018-06-02,Northern Cyprus,Tibet,3.0,1.0,H,Tournament,CONIFA World Football Cup,True,1500.0,1472.0
2018-06-02,Abkhazia,Kárpátalja,0.0,2.0,A,Tournament,CONIFA World Football Cup,True,1528.0,1500.0
2018-06-02,Barawa,Cascadia,1.0,2.0,A,Tournament,CONIFA World Football Cup,False,1502.594560969403,1472.6574818761203
2018-06-02,Ellan Vannin,Tamil Eelam,2.0,0.0,H,Tournament,CONIFA World Football Cup,True,1535.5023252286267,1476.7331033793232
2018-06-02,Latvia,Estonia,1.0,0.0,H,Tournament,Baltic Cup,False,1489.328471531868,1512.6271151784845
2018-06-02,Zambia,Namibia,0.0,0.0,D,Tournament,COSAFA Cup,True,1485.9636360939292,1504.5292545863424
2018-06-02,Kenya,New Zealand,2.0,1.0,H,Tournament,Intercontinental Cup,True,1490.4342908523777,1493.6
2018-06-02,Niger,Uganda,2.0,1.0,H,Friendly,Friendly,False,1498.346573547724,1498.6899081306049
2018-06-02,El Salvador,Honduras,1.0,0.0,H,Friendly,Friendly,True,1500.0,1493.1619736364107
2018-06-02,Thailand,China PR,0.0,2.0,A,Friendly,Friendly,False,1490.1545424849264,1473.3331323124514
2018-06-02,England,Nigeria,2.0,1.0,H,Friendly,Friendly,False,1506.1024919528688,1496.307322233011
